Year.id,Year.display-label,Sex.id,Sex.display-label,Hisp.id,Hisp.display-label,GEO.id,GEO.id2,GEO.display-label,totpop,wa,ba,ia,aa,na,tom
Id,Year,Id,Sex,Id,Hispanic Origin,Id,Id2,Geography,Total,Race Alone - White,Race Alone - Black or African American,Race Alone - American Indian and Alaska Native,Race Alone - Asian,Race Alone - Native Hawaiian and Other Pacific Islander,Two or More Races
est72014,"July 1, 2014",female,Female,hisp,Hispanic,0500000US09015,09015,"Windham County, Connecticut",6279,5243,627,116,45,22,226
est72014,"July 1, 2014",female,Female,nhisp,Not Hispanic,0500000US09015,09015,"Windham County, Connecticut",52638,49623,867,236,862,26,1024
est72014,"July 1, 2014",female,Female,tothisp,Total,0500000US09015,09015,"Windham County, Connecticut",58917,54866,1494,352,907,48,1250
est72014,"July 1, 2014",male,Male,hisp,Hispanic,0500000US09015,09015,"Windham County, Connecticut",6418,5281,628,181,52,33,243
est72014,"July 1, 2014",male,Male,nhisp,Not Hispanic,0500000US09015,09015,"Windham County, Connecticut",51495,48273,1270,226,679,25,1022
est72014,"July 1, 2014",male,Male,tothisp,Total,0500000US09015,09015,"Windham County, Connecticut",57913,53554,1898,407,731,58,1265
est72014,"July 1, 2014",totsex,Both Sexes,hisp,Hispanic,0500000US09015,09015,"Windham County, Connecticut",12697,10524,1255,297,97,55,469
est72014,"July 1, 2014",totsex,Both Sexes,nhisp,Not Hispanic,0500000US09015,09015,"Windham County, Connecticut",104133,97896,2137,462,1541,51,2046
est72014,"July 1, 2014",totsex,Both Sexes,tothisp,Total,0500000US09015,09015,"Windham County, Connecticut",116830,108420,3392,759,1638,106,2515
est72015,"July 1, 2015",female,Female,hisp,Hispanic,0500000US09015,09015,"Windham County, Connecticut",6400,5327,656,117,49,24,227
est72015,"July 1, 2015",female,Female,nhisp,Not Hispanic,0500000US09015,09015,"Windham County, Connecticut",52372,49323,866,240,867,25,1051
est72015,"July 1, 2015",female,Female,tothisp,Total,0500000US09015,09015,"Windham County, Connecticut",58772,54650,1522,357,916,49,1278
est72015,"July 1, 2015",male,Male,hisp,Hispanic,0500000US09015,09015,"Windham County, Connecticut",6552,5377,661,182,53,35,244
est72015,"July 1, 2015",male,Male,nhisp,Not Hispanic,0500000US09015,09015,"Windham County, Connecticut",51249,47986,1310,220,668,25,1040
est72015,"July 1, 2015",male,Male,tothisp,Total,0500000US09015,09015,"Windham County, Connecticut",57801,53363,1971,402,721,60,1284
est72015,"July 1, 2015",totsex,Both Sexes,hisp,Hispanic,0500000US09015,09015,"Windham County, Connecticut",12952,10704,1317,299,102,59,471
est72015,"July 1, 2015",totsex,Both Sexes,nhisp,Not Hispanic,0500000US09015,09015,"Windham County, Connecticut",103621,97309,2176,460,1535,50,2091
est72015,"July 1, 2015",totsex,Both Sexes,tothisp,Total,0500000US09015,09015,"Windham County, Connecticut",116573,108013,3493,759,1637,109,2562
